aalib 1.4rc5-13
accerciser 3.36.1-1
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
alacarte 3.36.0+0+g7b5fc64-1
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amtk 5.0.2-1
aom 1.0.0.errata1+avif-1
apache 2.4.43-1
appstream-glib 0.7.17-1
apr 1.7.0-2
apr-util 1.6.1-6
archlinux-keyring 20200422-1
argon2 20190702-2
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-1
attr 2.4.48-2
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
babl 0.1.74-1
baobab 3.34.0-1
base 2-2
bash 5.0.016-1
bash-completion 2.10-1
bind-tools 9.16.2-2
binutils 2.34-2
bison 3.5.4-1
blas 3.9.0-2
bluez 5.54-2
bluez-libs 5.54-2
bolt 0.8-3
boost-libs 1.72.0-1
breezy 3.0.2.3-2
brltty 6.0-8
brotli 1.0.7-3
btrfs-progs 5.6-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
ca-certificates 20181109-3
ca-certificates-mozilla 3.51.1-1
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
cdparanoia 10.2-7
cdrtools 3.02a09-2
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.8-1
cheese 3.34.0+23+gcac6d3a1-1
chromaprint 1.5.0-1
cifs-utils 6.10-1
clang 10.0.0-2
clutter 1.26.4-1
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
colord-sane 1.4.4+9+g1ce26da-1
compiler-rt 10.0.0-1
coreutils 8.32-1
cpio 2.13-1
cracklib 2.9.7-2
cryptsetup 2.3.1-3
ctags 1:r20200106+ga3c87ab5-1
cups-pk-helper 0.2.6-3
curl 7.69.1-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
dconf-editor 3.36.2-1
desktop-file-utils 0.24-2
devhelp 3.36.2-1
device-mapper 2.02.187-1
dhcpcd 9.0.2-1
dialog 1:1.3_20200327-1
diffutils 3.7-3
djvulibre 3.5.27-5
dleyna-connector-dbus 0.3.0-2
dleyna-core 0.6.0+2+g1c6853f-1
dleyna-renderer 0.6.0-3
dleyna-server 0.6.0+2+geb895ae-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-3
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
dotconf 1.3-5
dpkg 1.20.0-1
e2fsprogs 1.45.6-1
efibootmgr 17-1
efivar 37-3
elfutils 0.178-2
enchant 2.2.8-1
eog 3.36.2-1
epiphany 3.36.1-1
evince 3.36.0-1
evolution 3.36.2-1
evolution-data-server 3.36.2-1
exempi 2.5.1-1
exiv2 0.27.2-1
expat 2.2.9-3
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
ffmpeg 1:4.2.2-6
fftw 3.3.8-2
file 5.38-3
file-roller 3.36.2-1
filesystem 2019.10-2
findutils 4.7.0-2
firefox 75.0-2
five-or-more 3.32.2-1
flac 1.3.3-1
flatpak 1.7.2-1
flatpak-builder 1.0.10-1
flex 2.6.4-3
fluidsynth 2.1.2-1
folks 0.14-1
fontconfig 2:2.13.91+24+g75eadca-2
four-in-a-row 3.36.2-1
freerdp 2:2.0.0-2
freetype2 2.10.1-2
frei0r-plugins 1.7.0-1
fribidi 1.0.9-1
fuse-common 3.9.1-1
fuse2 2.9.9-3
fuse3 3.9.1-1
gavl 1.4.0-3
gawk 5.1.0-1
gc 8.0.4-3
gcab 1.4-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gdm 3.34.1-2
gedit 3.36.2-1
gegl 0.4.22-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.20.2-1
gfbgraph 0.2.3+23+g5925221-1
ghex 3.18.4-1
ghostscript 9.52-1
giflib 5.2.1-1
git 2.26.2-1
gjs 2:1.64.2-1
glade 3.22.2-1
glib-networking 2.64.2-1
glib2 2.64.2-1
glib2-docs 2.64.2-1
glibc 2.31-2
glibmm 2.64.2-1
glusterfs 1:7.4-1
gmime3 3.2.7-1
gmp 6.2.0-1
gnome-autoar 0.2.4-1
gnome-backgrounds 3.36.0-1
gnome-bluetooth 3.34.1-1
gnome-books 3.34.0+21+g4d34d109-1
gnome-boxes 3.36.0-1
gnome-builder 3.36.0-2
gnome-calculator 3.36.0-1
gnome-calendar 3.36.1-1
gnome-characters 3.34.0-1
gnome-chess 3.36.0-1
gnome-clocks 3.36.0-1
gnome-code-assistance 1:3.16.1+15+g0fd8b5f-2
gnome-color-manager 3.36.0-1
gnome-contacts 3.36.1-1
gnome-control-center 3.36.1-1
gnome-desktop 1:3.36.2-1
gnome-devel-docs 3.32.1+30+gf3ad0fe5-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.36.1-2
gnome-documents 3.34.0+6+g966b04ec-1
gnome-epub-thumbnailer 1.6-1
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-getting-started-docs 3.36.2-1
gnome-keyring 1:3.36.0-1
gnome-klotski 3.36.2-1
gnome-logs 3.34.0-1
gnome-mahjongg 3.36.2-1
gnome-maps 3.36.2-1
gnome-menus 3.36.0-1
gnome-mines 3.36.0-1
gnome-multi-writer 3.32.1-1
gnome-music 1:3.36.2-1
gnome-nettool 3.8.1+205+g8550eef-2
gnome-nibbles 3.36.0-1
gnome-online-accounts 3.36.0-1
gnome-online-miners 3.34.0-1
gnome-photos 3.34.1-1
gnome-recipes 2.0.4-1
gnome-remote-desktop 0.1.8-1
gnome-robots 3.36.1-1
gnome-screenshot 3.36.0-1
gnome-session 3.36.0-1
gnome-settings-daemon 3.36.1-1
gnome-shell 1:3.36.2-1
gnome-shell-extensions 3.36.2-1
gnome-software 3.36.0-1
gnome-sound-recorder 3.34.0+10+gc4bdfa0-1
gnome-sudoku 3.36.0-1
gnome-system-monitor 3.36.0-1
gnome-taquin 3.36.2-1
gnome-terminal 3.36.2-1
gnome-tetravex 3.36.2-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1+22+gd56e14e-1
gnome-tweaks 3.34.0-2
gnome-usage 3.33.2-1
gnome-user-docs 3.36.2-1
gnome-user-share 3.34.0-1
gnome-video-effects 0.5.0+4+g9554041-1
gnome-weather 3.36.1-1
gnu-free-fonts 20120503-7
gnupg 2.2.20-1
gnutls 3.6.13-1
gobject-introspection-runtime 1.64.1-2
gom 0.4-1
google-chrome 81.0.4044.129-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphene 1.10.0-1
graphite 1:1.3.14-1
graphviz 2.44.0-1
grep 3.4-1
grilo 0.3.12-1
grilo-plugins 0.3.11+4+g11cc1f8-1
groff 1.22.4-3
grub 2:2.04-5
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-2
gsm 1.0.19-1
gsound 1.0.2-4
gspell 1.8.3-1
gssdp 1.2.2-1
gst-plugin-gtk 1.16.2-3
gst-plugins-bad 1.16.2-8
gst-plugins-bad-libs 1.16.2-8
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-plugins-good 1.16.2-3
gstreamer 1.16.2-1
gtk-doc 1.32+37+gefc3644-1
gtk-update-icon-cache 1:3.24.20-1
gtk-vnc 1.0.0-1
gtk3 1:3.24.20-1
gtkmm3 3.24.2-1
gtksourceview4 4.6.0-1
gts 0.7.6.121130-1
guile 2.2.6-2
gupnp 1.2.2-1
gupnp-av 0.12.11+2+gb5ca07c-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.44.1-1
gvfs-afc 1.44.1-1
gvfs-goa 1.44.1-1
gvfs-google 1.44.1-1
gvfs-gphoto2 1.44.1-1
gvfs-mtp 1.44.1-1
gvfs-nfs 1.44.1-1
gvfs-smb 1.44.1-1
gzip 1.10-3
harfbuzz 2.6.5-1
harfbuzz-icu 2.6.5-1
hicolor-icon-theme 0.17-1
hitori 3.36.0-1
hspell 1.4-2
http-parser 2.9.4-1
hunspell 1.7.0-2
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-2
iagno 3.36.2-1
iana-etc 20200401-1
icu 65.1-3
ijs 0.35-2
imagemagick 7.0.10.10-1
imlib2 1.6.1-1
intel-tbb 2020.2-1
iproute2 5.6.0-1
iptables 1:1.8.4-1
iputils 20190709-2
ipython 7.13.0-1
iso-codes 4.4-1
jack 0.125.0-9
jansson 2.12-1
jasper 2.0.16-1
jbig2dec 0.18-1
jemalloc 1:5.2.1-1
js60 60.9.0-2
js68 68.7.0-1
json-c 0.14-1
json-glib 1.4.4-1
jsonrpc-glib 3.34.0-1
kbd 2.2.0-5
keyutils 1.6.1-3
kmod 27-1
krb5 1.18-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.9.0-2
lcms2 2.9-2
ldb 1:2.1.1-1
ldns 1.7.1-2
lensfun 0.3.95-1
less 551-3
libaio 0.3.112-2
libao 1.2.2-2
libarchive 3.4.2-1
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libavc1394 0.5.4-3
libblockdev 2.23-3
libbluray 1.2.0-3
libbs2b 3.1.0-6
libbsd 0.10.0-1
libbytesize 2.2-1
libcaca 0.99.beta19-2
libcacard 2.7.0-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.33-1
libcap-ng 0.7.10-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.1-1
libchamplain 0.12.20-1
libcroco 0.6.13-1
libcryptui 3.12.2+55+ged3b12af-1
libcue 2.2.1-1
libcups 2.3.3-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdazzle 3.36.0-1
libdc1394 2.2.6-1
libdca 0.0.7-1
libde265 1.0.5-1
libdmapsharing 2.9.39-2
libdrm 2.4.101-1
libdv 1.0.0-7
libdvdnav 6.1.0-2
libdvdread 6.1.1-1
libedit 20191231_3.1-1
libelf 0.178-2
libepoxy 1.5.4-1
libevdev 1.9.0-1
libexif 0.6.21-3
libfdk-aac 2.0.1-1
libffi 3.3-3
libfontenc 1.1.4-1
libgcrypt 1.8.5-2
libgdata 0.17.12-1
libgdm 3.34.1-2
libgee 0.20.3-2
libgepub 0.6.0-1
libgexiv2 0.12.0-4
libgit2 1:1.0.0-1
libgit2-glib 0.99.0.1-2
libglvnd 1.3.1-1
libgme 0.6.2-1
libgnome-games-support 1.6.1-1
libgnomekbd 3.26.1+2+g8d02ebd-1
libgpg-error 1.37-1
libgphoto2 2.5.24-1
libgrss 0.7.0+16+g971c421-2
libgsf 1.14.47-1
